ref   	text             	parse      	lemma       	pre      	gloss
45.2  	ἀπαγομένης       	V1  PMPGSF 	ἄγω         	ἀπο      	when led
45.3  	αὐτῆς            	RD  GSF    	αὐτός       	         	her
45.4  	ἀπολέσθαι,       	VB  AMN    	ὀλλύω       	ἀπο      	to execution,
45.5  	ἐξήγειρεν        	V1I IAI3S  	ἀγείρω      	ἐκ       	raised up
45.6  	ὁ                	RA  NSM    	ὁ           	         	-
45.7  	θεὸς             	N2  NSM    	θεός        	         	God
45.8  	τὸ               	RA  ASN    	ὁ           	         	the
45.9  	πνεῦμα           	N3M ASN    	πνεῦμα      	         	spirit
45.10 	τὸ               	RA  ASN    	ὁ           	         	-
45.11 	ἅγιον            	A1A ASM    	ἅγιος       	         	holy
45.12 	παιδαρίου        	N2N GSN    	παιδάριον   	         	of boy
45.13 	νεωτέρου         	A1A GSNC   	νέος        	         	young
45.14 	ᾧ                	RR  DSM    	ὅς          	         	who
45.15 	ὄνομα            	N3M NSN    	ὄνομα       	         	name
45.16 	Δανιὴλ.          	N   NSM    	Δανιηλ      	         	Daniel.
46.1  	καὶ              	C          	καί         	         	and
46.2  	ἐβόησεν          	VAI AAI3S  	βοάω        	         	he cried out
46.3  	φωνῇ             	N1  DSF    	φωνή        	         	[with] voice
46.4  	μεγάλῃ           	A1  DSF    	μέγας       	         	large:
46.5  	Ἀθῷος            	A1  NSM    	ἀθῷος       	         	Innocent
46.6  	ἐγὼ              	RP  NS     	ἐγώ         	         	[am] I
46.7  	ἀπὸ              	P          	ἀπό         	         	from
46.8  	τοῦ              	RA  GSN    	ὁ           	         	the
46.9  	αἵματος          	N3M GSN    	αἷμα        	         	blood
46.10 	ταύτης.          	RD  GSF    	οὗτος       	         	of this [woman].
47.1  	ἐπέστρεψεν       	VAI AAI3S  	στρέφω      	ἐπι      	turned
47.2  	δὲ               	X          	δέ          	         	-
47.3  	πᾶς              	A3  NSM    	πᾶς         	         	all
47.4  	ὁ                	RA  NSM    	ὁ           	         	the
47.5  	λαὸς             	N2  NSM    	λαός        	         	people
47.6  	πρὸς             	P          	πρός        	         	toward
47.7  	αὐτὸν            	RD  ASM    	αὐτός       	         	him
47.8  	καὶ              	C          	καί         	         	and
47.9  	εἶπαν            	VAI AAI3P  	εἶπον       	         	said:
47.10 	Τίς              	RI  NSM    	τίς         	         	What [is]
47.11 	ὁ                	RA  NSM    	ὁ           	         	the
47.12 	λόγος            	N2  NSM    	λόγος       	         	statement
47.13 	οὗτος            	RD  NSM    	οὗτος       	         	this
47.14 	ὃν               	RR  ASM    	ὅς          	         	which
47.15 	σὺ               	RP  NS     	σύ          	         	you
47.16 	λελάληκας;       	VX  XAI2S  	λαλέω       	         	have said?
48.1  	ὁ                	RA  NSM    	ὁ           	         	he
48.2  	δὲ               	X          	δέ          	         	-
48.3  	στὰς             	VH  AAPNSM 	ἵστημι      	         	standing
48.4  	ἐν               	P          	ἐν          	         	in
48.5  	μέσῳ             	A1  DSM    	μέσος       	         	[the] midsth
48.6  	αὐτῶν            	RD  GPM    	αὐτός       	         	of them
48.7  	εἶπεν            	VBI AAI3S  	εἶπον       	         	said:
48.8  	Οὕτως            	D          	οὕτως       	         	How
48.9  	μωροί,           	A1A NPM    	μωρός       	         	stupid [are]
48.10 	οἱ               	RA  NPM    	ὁ           	         	the
48.11 	υἱοὶ             	N2  NPM    	υἱός        	         	sons
48.12 	Ισραηλ;          	N   GSM    	Ισραηλ      	         	of Israel?
48.13 	οὐκ              	D          	οὐ          	         	not
48.14 	ἀνακρίναντες     	VA  AAPNPM 	κρίνω       	ἀνα      	investigating
48.15 	οὐδὲ             	C          	οὐδέ        	         	nor
48.16 	τὸ               	RA  ASN    	ὁ           	         	the
48.17 	σαφὲς            	A3H ASN    	σαφής       	         	clear
48.18 	ἐπιγνόντες       	VZ  AAPNPM 	γιγνώσκω    	ἐπι      	knowing
48.19 	κατεκρίνατε      	VAI AAI2P  	κρίνω       	κατα     	judged
48.20 	θυγατέρα         	N3  ASF    	θυγάτηρ     	         	a daughter
48.21 	Ισραηλ;          	N   GSM    	Ισραηλ      	         	of Israel?
49.1  	ἀναστρέψατε      	VA  AAD2P  	στρέφω      	ἀνα      	return
49.2  	εἰς              	P          	εἰς         	         	to
49.3  	τὸ               	RA  ASN    	ὁ           	         	the
49.4  	κριτήριον·       	N2N ASN    	κριτήριον   	         	court;
49.5  	ψευδῆ            	A3H APN    	ψευδής      	         	false
49.6  	γὰρ              	X          	γάρ         	         	for
49.7  	οὗτοι            	RD  NPM    	οὗτος       	         	these
49.8  	κατεμαρτύρησαν   	VAI AAI3P  	μαρτυρέω    	κατα     	testified against
49.9  	αὐτῆς.           	RD  GSF    	αὐτός       	         	her.
50.1  	καὶ              	C          	καί         	         	and
50.2  	ἀνέστρεψεν       	VAI AAI3S  	στρέφω      	ἀνα      	turned
50.3  	πᾶς              	A3  NSM    	πᾶς         	         	all
50.4  	ὁ                	RA  NSM    	ὁ           	         	the
50.5  	λαὸς             	N2  NSM    	λαός        	         	people
50.6  	μετὰ             	P          	μετά        	         	with
50.7  	σπουδῆς.         	N1  GSF    	σπουδή      	         	haste.
50.8  	καὶ              	C          	καί         	         	and
50.9  	εἶπαν            	VAI AAI3P  	εἶπον       	         	said
50.10 	αὐτῷ             	RD  DSM    	αὐτός       	         	to him
50.11 	οἱ               	RA  NPM    	ὁ           	         	the
50.12 	πρεσβύτεροι      	N2  NPM    	πρεσβύτερος 	         	elders:
50.13 	Δεῦρο            	D          	δεῦρο       	         	Here
50.14 	κάθισον          	VA  AAD2S  	ἵζω         	κατα     	sit down
50.15 	ἐν               	P          	ἐν          	         	in
50.16 	μέσῳ             	A1  DSM    	μέσος       	         	middle
50.17 	ἡμῶν             	RP  GP     	ἐγώ         	         	of us
50.18 	καὶ              	C          	καί         	         	and
50.19 	ἀνάγγειλον       	VA  AAD2S  	ἀγγέλλω     	ἀνα      	inform
50.20 	ἡμῖν,            	RP  DP     	ἐγώ         	         	us,
50.21 	ὅτι              	C          	ὅτι         	         	because
50.22 	σοὶ              	RP  DS     	σύ          	         	to you
50.23 	δέδωκεν          	VX  XAI3S  	δίδωμι      	         	have given
50.24 	ὁ                	RA  NSM    	ὁ           	         	-
50.25 	θεὸς             	N2  NSM    	θεός        	         	God
50.26 	τὸ               	RA  ASN    	ὁ           	         	-
50.27 	πρεσβεῖον.       	N2N ASN    	πρεσβεῖον   	         	eldership.
51.1  	καὶ              	C          	καί         	         	and
51.2  	εἶπεν            	VBI AAI3S  	εἶπον       	         	said
51.3  	πρὸς             	P          	πρός        	         	to
51.4  	αὐτοὺς           	RD  APM    	αὐτός       	         	them
51.5  	Δανιήλ           	N   NSM    	Δανιηλ      	         	Daniel:
51.6  	Διαχωρίσατε      	VA  AAD2P  	χωρίζω      	δια      	Separate
51.7  	αὐτοὺς           	RD  APM    	αὐτός       	         	them
51.8  	ἀπ’              	P          	ἀπό         	         	from
51.9  	ἀλλήλων          	RD  GPM    	ἀλλήλω      	         	each other
51.10 	μακράν,          	D          	μακράν      	         	far,
51.11 	καὶ              	C          	καί         	         	and
51.12 	ἀνακρινῶ         	VF2 FAI1S  	κρίνω       	ἀνα      	I will examine
51.13 	αὐτούς.          	RD  APM    	αὐτός       	         	them.
52.1  	ὡς               	C          	ὡς          	         	when
52.2  	δὲ               	X          	δέ          	         	-
52.3  	διεχωρίσθησαν    	VSI API3P  	χωρίζω      	δια      	they were separated
52.4  	εἷς              	M   NSM    	εἷς         	         	one
52.5  	ἀπὸ              	P          	ἀπό         	         	from
52.6  	τοῦ              	RA  GSM    	ὁ           	         	the
52.7  	ἑνός,            	A3  GSM    	εἷς         	         	one,
52.8  	ἐκάλεσεν         	VAI AAI3S  	καλέω       	         	he called
52.9  	τὸν              	RA  ASM    	ὁ           	         	-
52.10 	ἕνα              	A3  ASM    	εἷς         	         	one
52.11 	αὐτῶν            	RD  GPM    	αὐτός       	         	of them
52.12 	καὶ              	C          	καί         	         	and
52.13 	εἶπεν            	VBI AAI3S  	εἶπον       	         	said
52.14 	πρὸς             	P          	πρός        	         	to
52.15 	αὐτόν            	RD  ASM    	αὐτός       	         	him:
52.16 	Πεπαλαιωμένε     	VM  XMPVSM 	παλαιόω     	         	Aged
52.17 	ἡμερῶν           	N1A GPF    	ἡμέρα       	         	of days
52.18 	κακῶν,           	A1  GPF    	κακός       	         	evil,
52.19 	νῦν              	D          	νῦν         	         	now
52.20 	ἥκασιν           	V1  PAI3P  	ἥκω         	         	have come
52.21 	αἱ               	RA  NPF    	ὁ           	         	the
52.22 	ἁμαρτίαι         	N1A NPF    	ἁμαρτία     	         	sins
52.23 	σου              	RP  GS     	σύ          	         	of you
52.24 	ἃς               	RR  APF    	ὅς          	         	which
52.25 	ἐποίεις          	V2I IAI2S  	ποιέω       	         	you did
52.26 	τὸ               	RA  ASN    	ὁ           	         	[in] the
52.27 	πρότερον,        	A1  ASN    	πρότερος    	         	past,
53.1  	κρίνων           	V1  PAPNSM 	κρίνω       	         	judging
53.2  	κρίσεις          	N3I APF    	κρίσις      	         	judgement
53.3  	ἀδίκους,         	A1B APF    	ἄδικος      	         	unjust,
53.4  	καὶ              	C          	καί         	         	and
53.5  	τοὺς             	RA  APM    	ὁ           	         	the
53.6  	μὲν              	X          	μέν         	         	-
53.7  	ἀθῴους           	A1  APM    	ἀθῷος       	         	innocent
53.8  	κατακρίνων,      	V1  PAPNSM 	κρίνω       	κατα     	condemning,
53.9  	ἀπολύων          	V1  PAPNSM 	λύω         	ἀπο      	freeing
53.10 	δὲ               	X          	δέ          	         	-
53.11 	τοὺς             	RA  APM    	ὁ           	         	the
53.12 	αἰτίους,         	A1A APM    	αἴτιος      	         	guilty,
53.13 	λέγοντος         	V1  PAPGSM 	λέγω        	         	while saying
53.14 	τοῦ              	RA  GSM    	ὁ           	         	the
53.15 	κυρίου           	N2  GSM    	κύριος      	         	Lord:
53.16 	Ἀθῷον            	A1  ASM    	ἀθῷος       	         	Innocent
53.17 	καὶ              	C          	καί         	         	and
53.18 	δίκαιον          	A1A ASM    	δίκαιος     	         	righteous
53.19 	οὐκ              	D          	οὐ          	         	not
53.20 	ἀποκτενεῖς.      	VF2 FAI2S  	κτείνω      	ἀπο      	you will put to death.
54.1  	νῦν              	D          	νῦν         	         	now
54.2  	οὖν              	X          	οὖν         	         	then
54.3  	ταύτην           	RD  ASF    	οὗτος       	         	this [woman]
54.4  	εἴπερ            	C          	εἴπερ       	         	if
54.5  	ἴδες,            	VBI AAI2S  	ὁράω        	         	you saw,
54.6  	εἰπόν            	VBI AAD2S  	εἶπον       	         	say:
54.7  	Ὑπὸ              	P          	ὑπό         	         	Under
54.8  	τί               	RI  ASN    	τίς         	         	which
54.9  	δένδρον          	N2N ASN    	δένδρον     	         	tree
54.10 	ἴδες             	VBI AAI2S  	ὁράω        	         	you saw
54.11 	αὐτοὺς           	RD  APM    	αὐτός       	         	them
54.12 	ὁμιλοῦντας       	V2  PAPAPM 	ὁμιλέω      	         	conversing
54.13 	ἀλλήλοις;        	RD  DPM    	ἀλλήλω      	         	together?
54.14 	ὁ                	RA  NSM    	ὁ           	         	he
54.15 	δὲ               	X          	δέ          	         	-
54.16 	εἶπεν            	VBI AAI3S  	εἶπον       	         	said:
54.17 	Ὑπὸ              	P          	ὑπό         	         	Under
54.18 	σχῖνον.          	N2  ASF    	σχῖνος      	         	mastic.
55.1  	εἶπεν            	VBI AAI3S  	εἶπον       	         	said
55.2  	δὲ               	X          	δέ          	         	-
55.3  	Δανιήλ           	N   NSM    	Δανιηλ      	         	Daniel:
55.4  	Ὀρθῶς            	D          	ὀρθῶς       	         	Correctly
55.5  	ἔψευσαι          	VM  XMI2S  	ψεύδομαι    	         	you have lied
55.6  	εἰς              	P          	εἰς         	         	to
55.7  	τὴν              	RA  ASF    	ὁ           	         	the
55.8  	σεαυτοῦ          	RD  GSM    	σεαυτοῦ     	         	of you
55.9  	κεφαλήν·         	N1  ASF    	κεφαλή      	         	head;
55.10 	ἤδη              	D          	ἤδη         	         	now
55.11 	γὰρ              	X          	γάρ         	         	for
55.12 	ἄγγελος          	N2  NSM    	ἄγγελος     	         	angel
55.13 	τοῦ              	RA  GSM    	ὁ           	         	of
55.14 	θεοῦ             	N2  GSM    	θεός        	         	God
55.15 	λαβὼν            	VB  AAPNSM 	λαμβάνω     	         	having received
55.16 	φάσιν            	V6  PAI3P  	φημί        	         	they say
55.17 	παρὰ             	P          	παρά        	         	from
55.18 	τοῦ              	RA  GSM    	ὁ           	         	-
55.19 	θεοῦ             	N2  GSM    	θεός        	         	God
55.20 	σχίσει           	VF  FAI2S  	σχίζω       	         	will split
55.21 	σε               	RP  AS     	σύ          	         	you
55.22 	μέσον.           	A1  ASM    	μέσος       	         	middle.
56.1  	καὶ              	C          	καί         	         	and
56.2  	μεταστήσας       	VA  AAPNSM 	ἵστημι      	μετα     	putting aside
56.3  	αὐτὸν            	RD  ASM    	αὐτός       	         	him
56.4  	ἐκέλευσεν        	VAI AAI3S  	κελεύω      	         	he commanded
56.5  	προσαγαγεῖν      	VB  AAN    	ἄγω         	προς     	to bring
56.6  	τὸν              	RA  ASM    	ὁ           	         	the
56.7  	ἕτερον·          	A1A ASM    	ἕτερος      	         	other;
56.8  	καὶ              	C          	καί         	         	and
56.9  	εἶπεν            	VBI AAI3S  	εἶπον       	         	said
56.10 	αὐτῷ             	RD  DSM    	αὐτός       	         	to him
56.11 	Σπέρμα           	N3M VSN    	σπέρμα      	         	Seed
56.12 	Χανάαν           	N   GSM    	Χανααν      	         	of Canaan
56.13 	καὶ              	C          	καί         	         	and
56.14 	οὐκ              	D          	οὐ          	         	not
56.15 	Ἰούδα,           	N   GSM    	Ιουδα       	         	of Judah,
56.16 	τὸ               	RA  NSN    	ὁ           	         	-
56.17 	κάλλος           	N3E NSN    	κάλλος      	         	beauty
56.18 	ἐξηπάτησέν       	VAI AAI3S  	ἀπατάω      	ἐκ       	cheated
56.19 	σε,              	RP  AS     	σύ          	         	you,
56.20 	καὶ              	C          	καί         	         	and
56.21 	ἐπιθυμία         	N1A NSF    	ἐπιθυμία    	         	lust
56.22 	διέστρεψεν       	VAI AAI3S  	στρέφω      	δια      	twisted
56.23 	τὴν              	RA  ASF    	ὁ           	         	the
56.24 	καρδίαν          	N1A ASF    	καρδία      	         	heart
56.25 	σου.             	RP  GS     	σύ          	         	of you.
57.1  	οὕτως            	D          	οὕτως       	         	thus
57.2  	ἐποιεῖτε         	V2I IAI2P  	ποιέω       	         	you did
57.3  	θυγατράσιν       	N3  DPF    	θυγάτηρ     	         	with daughters
57.4  	Ισραηλ,          	N   GSM    	Ισραηλ      	         	of Israel,
57.5  	καὶ              	C          	καί         	         	and
57.6  	ἐκεῖναι          	RD  NPF    	ἐκεῖνος     	         	those
57.7  	φοβούμεναι       	V2  PMPNPF 	φοβέω       	         	fearing
57.8  	ὡμίλουν          	V2I IAI3P  	ὁμιλέω      	         	consorted
57.9  	ὑμῖν·            	RP  DP     	σύ          	         	with you;
57.10 	ἀλλ’             	C          	ἀλλά        	         	but
57.11 	οὐ               	D          	οὐ          	         	not
57.12 	θυγάτηρ          	N3  NSF    	θυγάτηρ     	         	daughter
57.13 	Ἰούδα            	N   GSM    	Ιουδα       	         	of Judah
57.14 	ὑπέμεινεν        	VAI AAI3S  	μένω        	ὑπο      	endured
57.15 	τὴν              	RA  ASF    	ὁ           	         	the
57.16 	ἀνομίαν          	N1A ASF    	ἀνομία      	         	wickedness
57.17 	ὑμῶν.            	RP  GP     	σύ          	         	of you.
58.1  	νῦν              	D          	νῦν         	         	now
58.2  	οὖν              	X          	οὖν         	         	therefore
58.3  	λέγε             	V1  PAD2S  	λέγω        	         	say
58.4  	μοι              	RP  DS     	ἐγώ         	         	to me:
58.5  	Ὑπὸ              	P          	ὑπό         	         	Under
58.6  	τί               	RI  ASN    	τίς         	         	what
58.7  	δένδρον          	N2N ASN    	δένδρον     	         	tree
58.8  	κατέλαβες        	VBI AAI2S  	λαμβάνω     	κατα     	you took
58.9  	αὐτοὺς           	RD  APM    	αὐτός       	         	them
58.10 	ὁμιλοῦντας       	V2  PAPAPM 	ὁμιλέω      	         	consorting
58.11 	ἀλλήλοις;        	RD  DPM    	ἀλλήλω      	         	together?
58.12 	ὁ                	RA  NSM    	ὁ           	         	he
58.13 	δὲ               	X          	δέ          	         	-
58.14 	εἶπεν            	VBI AAI3S  	εἶπον       	         	said:
58.15 	Ὑπὸ              	P          	ὑπό         	         	Under
58.16 	πρῖνον.          	N2  ASF    	πρῖνος      	         	oak.
59.1  	εἶπεν            	VBI AAI3S  	εἶπον       	         	said
59.2  	δὲ               	X          	δέ          	         	-
59.3  	αὐτῷ             	RD  DSM    	αὐτός       	         	to him
59.4  	Δανιήλ           	N   NSM    	Δανιηλ      	         	Daniel:
59.5  	’Ορθῶς           	D          	ὀρθῶς       	         	Correctly
59.6  	ἔψευσαι          	VM  XMI2S  	ψεύδομαι    	         	you have lied
59.7  	καὶ              	C          	καί         	         	and
59.8  	σὺ               	RP  NS     	σύ          	         	you
59.9  	εἰς              	P          	εἰς         	         	in
59.10 	τὴν              	RA  ASF    	ὁ           	         	the
59.11 	σεαυτοῦ          	RD  GSM    	σεαυτοῦ     	         	your
59.12 	κεφαλήν·         	N1  ASF    	κεφαλή      	         	head;
59.13 	μένει            	V1  PAI3S  	μένω        	         	waits
59.14 	γὰρ              	X          	γάρ         	         	for
59.15 	ὁ                	RA  NSM    	ὁ           	         	the
59.16 	ἄγγελος          	N2  NSM    	ἄγγελος     	         	angel
59.17 	τοῦ              	RA  GSM    	ὁ           	         	-
59.18 	θεοῦ             	N2  GSM    	θεός        	         	God
59.19 	τὴν              	RA  ASF    	ὁ           	         	the
59.20 	ῥομφαίαν         	N1A ASF    	ῥομφαία     	         	sword
59.21 	ἔχων             	V1  PAPNSM 	ἔχω         	         	having
59.22 	πρίσαι           	VA  AAN    	πρίω        	         	to cut
59.23 	σε               	RP  AS     	σύ          	         	you
59.24 	μέσον,           	A1  ASM    	μέσος       	         	middle,
59.25 	ὅπως             	C          	ὅπως        	         	so that
59.26 	ἐξολεθρεύσῃ      	VF  FAI3S  	ὀλεθρεύω    	ἐκ       	destroy
59.27 	ὑμᾶς.            	RP  AP     	σύ          	         	you.
60.1  	Καὶ              	C          	καί         	         	And
60.2  	ἀνεβόησεν        	VAI AAI3S  	βοάω        	ἀνα      	cried
60.3  	πᾶσα             	A1S NSF    	πᾶς         	         	all
60.4  	ἡ                	RA  NSF    	ὁ           	         	the
60.5  	συναγωγὴ         	N1  NSF    	συναγωγή    	         	assembly
60.6  	φωνῇ             	N1  DSF    	φωνή        	         	with voice
60.7  	μεγάλῃ,          	A1  DSF    	μέγας       	         	loud,
60.8  	καὶ              	C          	καί         	         	and
60.9  	εὐλόγησαν        	VA  AAI3P  	εὐλογέω     	         	praised
60.10 	τῷ               	RA  DSM    	ὁ           	         	-
60.11 	θεῷ              	N2  DSM    	θεός        	         	God
60.12 	τῷ               	RA  DSM    	ὁ           	         	the [one]
60.13 	σώζοντι          	V1  PAPDSM 	σώζω        	         	saving
60.14 	τοὺς             	RA  APM    	ὁ           	         	the [ones]
60.15 	ἐλπίζοντας       	V1  PAPAPM 	ἐλπίζω      	         	hoping
60.16 	ἐπ’              	P          	ἐπί         	         	in
60.17 	αὐτόν.           	RD  ASM    	αὐτός       	         	him.
61.1  	καὶ              	C          	καί         	         	and
61.2  	ἀνέστησαν        	VHI AAI3P  	ἵστημι      	ἀνα      	they rose up
61.3  	ἐπὶ              	P          	ἐπί         	         	against
61.4  	τοὺς             	RA  APM    	ὁ           	         	the
61.5  	δύο              	M   ADM    	δύο         	         	two
61.6  	πρεσβύτας,       	N1M APM    	πρεσβύτης   	         	old men,
61.7  	ὅτι              	C          	ὅτι         	         	because
61.8  	συνέστησεν       	VAI AAI3S  	ἵστημι      	συν      	set together
61.9  	αὐτοὺς           	RD  APM    	αὐτός       	         	them
61.10 	Δανιὴλ           	N   NSM    	Δανιηλ      	         	Daniel
61.11 	ἐκ               	P          	ἐκ          	         	out of
61.12 	τοῦ              	RA  GSN    	ὁ           	         	the
61.13 	στόματος         	N3M GSN    	στόμα       	         	mouth
61.14 	αὐτῶν            	RD  GPM    	αὐτός       	         	of them
61.15 	ψευδομάρτυρας    	Ν3  APM    	ψευδομάρτυς 	         	false-witness
61.16 	ὄντας,           	V9  PAPAPM 	εἰμι        	         	being
61.17 	καὶ              	C          	καί         	         	and
61.18 	ἐποίησαν         	VAI AAI3P  	ποιέω       	         	they did
61.19 	αὐτοῖς           	RD  DPM    	αὐτός       	         	to them
61.20 	ὃν               	RR  ASM    	ὅς          	         	what
61.21 	τρόπον           	N2  ASM    	τρόπος      	         	manner
61.22 	ἐπονηρεύσαντο    	VAI AMI3P  	πονηρεύω    	         	they acted wickedly
61.23 	τῷ               	RA  DSM    	ὁ           	         	to the
61.24 	πλησίον,         	D          	πλησίον     	         	neighbour,
62.1  	ποιῆσαι          	VA  AAN    	ποιέω       	         	to do
62.2  	κατὰ             	P          	κατά        	         	according
62.3  	τὸν              	RA  ASM    	ὁ           	         	to the
62.4  	νόμον            	N2  ASM    	νόμος       	         	law
62.5  	Μωυσῆ,           	N1M GSM    	Μωυσῆς      	         	of Moses,
62.6  	καὶ              	C          	καί         	         	and
62.7  	ἀπέκτειναν       	VAI AAI3P  	κτείνω      	ἀπο      	they put to death
62.8  	αὐτούς·          	RD  APM    	αὐτός       	         	them;
62.9  	καὶ              	C          	καί         	         	and
62.10 	ἐσώθη            	VCI API3S  	σώζω        	         	was saved
62.11 	αἷμα             	N3M ASN    	αἷμα        	         	blood {nominative?}
62.12 	ἀναίτιον         	A1A ASN    	ἀναίτιος    	         	innocent
62.13 	ἐν               	P          	ἐν          	         	on
62.14 	τῇ               	RA  DSF    	ὁ           	         	-
62.15 	ἡμέρᾳ            	N1A DSF    	ἡμέρα       	         	day
62.16 	ἐκείνῃ.          	RD  DSF    	ἐκεῖνος     	         	that.
63.1  	Χελκίας          	N   NSM    	Χελκιας     	         	Hilkiah
63.2  	δὲ               	X          	δέ          	         	-
63.3  	καὶ              	C          	καί         	         	and
63.4  	ἡ                	RA  NSF    	ὁ           	         	the
63.5  	γυνὴ             	N3K NSF    	γυνή        	         	wife
63.6  	αὐτοῦ            	RD  GSM    	αὐτός       	         	of him
63.7  	ᾔνεσαν           	VAI AAI3P  	αἰνέω       	         	praised
63.8  	περὶ             	P          	περί        	         	concerning
63.9  	τῆς              	RA  GSF    	ὁ           	         	the
63.10 	θυγατρὸς         	N3  GSF    	θυγάτηρ     	         	daughter
63.11 	αὐτῶν            	RD  GPM    	αὐτός       	         	of them
63.12 	μετὰ             	P          	μετά        	         	with
63.13 	Ἰωακεὶμ          	N   GSM    	Ιωακιμ      	         	Joakim
63.14 	τοῦ              	RA  GSM    	ὁ           	         	the
63.15 	ἀνδρὸς           	N3  GSM    	ἀνήρ        	         	husband
63.16 	αὐτῆς            	RD  GSF    	αὐτός       	         	of her
63.17 	καὶ              	C          	καί         	         	and
63.18 	τῶν              	RA  GPM    	ὁ           	         	the
63.19 	συνγενῶν         	A3H GPM    	συγγενής    	         	kindred
63.20 	πάντων,          	A3  GPM    	πᾶς         	         	all,
63.21 	ὅτι              	C          	ὅτι         	         	because
63.22 	οὐχ              	D          	οὐ          	         	not
63.23 	εὑρέθη           	VC  API3S  	εὑρίσκω     	         	was found
63.24 	ἐν               	P          	ἐν          	         	in
63.25 	αὐτῇ             	RD  DSF    	αὐτός       	         	her
63.26 	ἄσχημον          	A3N ASN    	ἀσχήμων     	         	shamful
63.27 	πρᾶγμα.          	N3M ASN    	πρᾶγμα      	         	deed.
64.1  	Καὶ              	C          	καί         	         	And
64.2  	Δανιὴλ           	N   NSM    	Δανιηλ      	         	Daniel
64.3  	ἐγένετο          	VBI AMI3S  	γίγνομαι    	         	became
64.4  	μέγας            	A1P NSM    	μέγας       	         	great
64.5  	ἐνώπιον          	D   P      	ἐνώπιον     	         	face-to-face
64.6  	τοῦ              	RA  GSM    	ὁ           	         	of the
64.7  	λαοῦ             	N2  GSM    	λαός        	         	people
64.8  	ἀπὸ              	P          	ἀπό         	         	from
64.9  	τῆς              	RA  GSF    	ὁ           	         	-
64.10 	ἡμέρας           	N1A GSF    	ἡμέρα       	         	day
64.11 	ἐκείνης          	RD  GSF    	ἐκεῖνος     	         	that
64.12 	καὶ              	C          	καί         	         	and
64.13 	ἐπέκεινα.        	D          	ἐπέκεινα    	         	beyond.
